2068,Electronics,High-End,10603,2743,792
2069,Clothing,Standard,11502,2527,732
2070,Electronics,Mid-Range,11453,2427,802
2071,Clothing,Standard,10457,2627,772
2072,Electronics,High-End,12707,2527,812
2073,Clothing,Standard,12308,2327,792
2074,Electronics,Mid-Range,11357,2743,752
2075,Clothing,Standard,13357,2427,802
2076,Electronics,High-End,12407,2543,782
2077,Clothing,Standard,11407,2327,822
2078,Electronics,Mid-Range,11358,2643,772
2079,Clothing,Standard,10253,2527,752
2080,Electronics,High-End,14702,2327,797
2081,Clothing,Standard,12453,2743,802
2082,Electronics,Mid-Range,11407,2427,732
2083,Clothing,Standard,10358,2627,812
2084,Electronics,High-End,12703,2527,772
2085,Clothing,Standard,12357,2427,792
2086,Electronics,Mid-Range,11358,2543,802
2087,Clothing,Standard,10257,2327,752
2088,Electronics,High-End,12457,2643,782
2089,Clothing,Standard,11503,2527,772
2090,Electronics,Mid-Range,11503,2743,812
2091,Clothing,Standard,12408,2427,792
2092,Electronics,High-End,10608,2627,732
2093,Clothing,Standard,13407,2527,802
2094,Electronics,Mid-Range,11453,2327,772
2095,Clothing,Standard,10357,2743,792
2096,Electronics,High-End,12753,2427,752
2097,Clothing,Standard,12457,2543,812
2098,Electronics,Mid-Range,11408,2543,782
2099,Clothing,Standard,13503,2643,732
